,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
72,lisa,"saeed-ul hassan, timothy d bowman, mudassir shabbir, aqsa akhtar, mubashir imran, naif radi aljohani",influential tweeters in relation to highly cited articles in altmetric big data,Influential tweeters in relation to highly cited articles in altmetric big data,scientometrics,"eigen values , social networks , eigenvalues , data management , data processing , bibliometrics , machine learning , informetrics , support vector machines , learning algorithms , digital media",2019,English,10.1007/s11192-019-03044-9
73,lisa,"jesus bobadilla, abraham gutierrez, miguel angel patricio, rodolfo xavier bojorque",analysis of scientific production based on trending research topics an artificial intelligence case study,Analysis of scientific production based on trending research topics. An Artificial Intelligence case study,revista espanola de documentacion cientifica,"research , information systems , citations , data mining , collaboration , scientometrics , webometrics , journals , bibliometrics , science , trends , documentation , recommender systems , data mining , artificial intelligence , researchers , natural language processing , artificial intelligence , machine learning , ranking , informetrics , natural language processing , quality",2019,English,10.3989/redc.2019.1.1583
74,lisa,"miltiadis d lytras, saeed-ul hassan, naif radi aljohani",linked open data of bibliometric networks analytics research for personalized library services,Linked open data of bibliometric networks: analytics research for personalized library services,library hi tech,"encryption , collaboration , linked data , content management , analytics , information retrieval , artificial intelligence , scientific papers , social network analysis , citation analysis , internet of things , cryptography , machine learning , blockchain , innovations , user services , open data , scientometrics , bibliometrics , data mining , clustering , publishing , knowledge management , social networks , archives & records , algorithms , libraries , business models , scholarly communication , information retrieval , computer security",2019,English,10.1108/lht-03-2019-277
75,lisa,"wenzhi zheng, yenchun jim wu, yue lv",more descriptive norms fewer diversions,"More descriptive norms, fewer diversions",library hi tech,"research , behavior , students , working conditions , collaboration , social networks , communication , university faculty , researchers , factor analysis , norms , platforms , cognitive ability , resource management , influence , teachers , hirsch index , management systems , cognition & reasoning , efficiency , autonomy , interactive learning , social networks , visibility , literature reviews , addictive behaviors , attitudes , digital media , colleges & universities , china",2019,English,10.1108/lht-11-2017-0240
76,lisa,"yucheng zhang, yenchun jim wu, mark goh, xinhong liu",supply chain management scholars research impact moderated mediation analysis,Supply chain management scholar’s research impact: moderated mediation analysis,library hi tech,"social networks , scholars , impact analysis , mediation , management , supply chains , supply chains , skills",2019,English,10.1108/lht-07-2017-0149
77,lisa,"ahmad khurshid, zheng jianming, muhammad rafi",assessing the literature of knowledge management km in the field of library and information science,Assessing the literature of knowledge management (KM) in the field of library and information science,information discovery and delivery,"mis , author productivity , research methodology , citations , scientometrics , bibliometrics , science , trends , academic libraries , studies , knowledge management , medical research , library and information science , researchers , librarians , technology acceptance model , academic publications , data bases , literature reviews , social entrepreneurship , information technology , united states--us , canada",2019,English,10.1108/idd-06-2018-0021
79,lisa,"andrea giovanni nuzzolese, paolo ciancarini, aldo gangemi, silvio peroni, francesco poggi, valentina presutti",do altmetrics work for assessing research quality,Do altmetrics work for assessing research quality?,scientometrics,"indicators , citation analysis , data processing , quality assessment , colleges & universities , scientometrics , bibliometrics , informetrics , colleges & universities",2019,English,10.1007/s11192-018-2988-z
80,lisa,"chukwuma okeji clement, monica eberechukwu eze, nneka maureen chibueze",awareness and use of self archiving options among academic librarians in nigerian universities,Awareness and use of self-archiving options among academic librarians in Nigerian universities,global knowledge memory and communication,"peer review , journals , science , studies , peers , social networks , scholars , archives & records , copyright , researchers , librarians , scholarly publishing , social research , institutional repositories",2019,English,10.1108/gkmc-12-2017-0109
81,lisa,jose luis ortega,exploratory analysis of publons metrics and their relationship with bibliometric and altmetric impact,Exploratory analysis of Publons metrics and their relationship with bibliometric and altmetric impact,aslib journal of information management,"research , peer review , journals , bibliometrics , studies , publications , documents , social networks , indicators , libraries , informetrics , quality , hirsch index , institutional repositories , blogs",2019,English,10.1108/ajim-06-2018-0153
82,lisa,"ashok pal, arindam sarkar",information systems research in the 21st century a bibliometric study,Information Systems Research in the 21st Century: A Bibliometric Study,library philosophy and practice,"citations , library associations , journals , bibliometrics , librarians , authorship , impact factors , libraries",2018,English,
83,lisa,"e nishavathi, r jeyshankar",mapping the science of law a jurimetrics analysis,Mapping the Science of Law: A Jurimetrics Analysis,library philosophy and practice,"bibliographic coupling , citations , scientometrics , webometrics , bibliometrics , sexual harassment , legal information , librarians , data analysis , algorithms , supreme court decisions , india",2018,English,
84,lisa,"rahim alijani, seyedeh fahimeh mortazavipour, ali akbar khasseh",visibility of iranian lis departments in researchgate an altmetric study,Visibility of Iranian LIS Departments in ResearchGate: An Altmetric Study,library philosophy and practice,"web 2.0 , scientometrics , webometrics , journals , bibliometrics , citation indexes , academic libraries , science education , electronic periodicals , medical research , social networks , library and information science , researchers , informetrics , philosophy , scholarly communication , iran",2018,English,
85,lisa,gali halevi,institutional open access publishing as an educational vehicle,Institutional Open Access Publishing as an Educational Vehicle,publishing research quarterly,"scholarly publishing , open access publishing , medical libraries , education , medicine , learning",2018,English,10.1007/s12109-018-9608-x
87,lisa,"hollie c white, sean chen, guangya liu",relationships between metadata application and downloads in an institutional repository of an american law school,Relationships Between Metadata Application and Downloads in an Institutional Repository of an American Law School,libres,"research , search engines , law schools , metadata , science , information professionals , vocabularies & taxonomies , library collections , researchers , statistical analysis , keywords , hirsch index , significance , library management , academic libraries , studies , multiple regression analysis , archives & records , statistical methods , librarians , downloading , information technology , information science , information retrieval , institutional repositories , correlation analysis",2018,English,
88,lisa,v r renjith,citations of desidoc journal of library and information technology statistical analysis of google scholar based research impact for the period of 2006 to 2015,Citations of DESIDOC Journal of Library and Information Technology: Statistical analysis of Google Scholar based Research Impact for the period of 2006 to 2015,library philosophy and practice,"information systems , webometrics , science , library technology , indexing services , library and information science , citation analysis , researchers , research & development--r&d , performance evaluation , hirsch index , statistical analysis , scientometrics , journals , bibliometrics , citation indexes , hypotheses , studies , electronic periodicals , developing countries--ldcs , authorship , data bases , libraries , informetrics , information technology , india",2018,English,
89,lisa,james oluwaseyi hodonu-wusu,open science a review on open peer review literature,Open Science: A Review on Open Peer Review Literature,library philosophy and practice,"research , scholars , peer review , science , journals , trends , publishing , scholarly communication , open access",2018,English,
90,lisa,"mohammadamin erfanmanesh, a abrizah",mapping worldwide research on the internet of things during 2011 2016,Mapping worldwide research on the Internet of Things during 2011-2016,the electronic library,"internet of things , researchers , bibliometrics , network analysis , publication output , journals , bibliometrics , electronic engineering , citation indexes , documents , informatics , computer networks , internet of things",2018,English,10.1108/el-09-2017-0196
